CAS,Name,MW,VP (mm Hg),log VP,Estimate VP (mm Hg),log VP est,Error,VP temp (degC),VP type,Reference
4342-36-3,"Stannane,(benzoyloxy)tributyl",411.16,1.5e-06,-5.8239087409443,1.34e-06,-5.8728952016352,-0.0489864606908998,20,EXP,"BLUNDEN,SJ ET AL. (1984)"
4434-66-6,1-BROMONONADECANE,347.43,2.23e-06,-5.6516951369518,3.46e-05,-4.4609239012072,1.1907712357446,25,EXT,"LI,JCM & ROSSINI,FD (1953)"
4435-50-1,"1,2,3-TRIHYDROXYBUTANE",106.12,0.003362,-2.4734022908965,0.00427,-2.369572124975,0.1038301659215,25,EXT,"JORDAN,TE (1954)"
4442-79-9,CYCLOHEXANEETHANOL,128.22,0.166,-0.779891911959945,0.0454,-1.3429441471429,-0.563052235182955,25,EXT,"PERRY,RH & GREEN,D (1984)"
4454-05-1,"2-Methoxy-3,4-dihydro-2H-pyran",114.15,10.9,1.0374264979406,20.8,1.3180633349628,0.2806368370222,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
4461-48-7,4-METHYL-2-PENTENE,84.163,207.0,2.3159703454569,218.0,2.3384564936046,0.0224861481477001,21,EXP,"FLICK,EW (1991)"
4465-58-1,C.I. DISPERSE RED 3,267.29,1e-11,-11.0,1.78e-10,-9.7495799976911,1.2504200023089,25,EXT,"BAUGHMAN,GL & PERENICH,TA (1988)"
4516-69-2,"1,1,3-TRIMETHYLCYCLOPENTANE",112.22,11.12,1.046104787246,35.3,1.5477747053878,0.5016699181418,25,EXT,"CHAO,J ET AL. (1983)"
4553-62-2,2-METHYLPENTANEDINITRILE,108.14,0.0051,-2.2924298239021,0.0135,-1.869666231505,0.4227635923971,25,EXP,"DAUBERT,TE & DANNER,RP (1991)"
4630-06-2,6-METHYL-5-HEPTEN-2-OL,128.22,0.272,-0.565431095965801,0.311,-0.507239610973163,0.058191484992638,25,EXT,"PERRY,RH & GREEN,D (1984)"
4726-14-1,NITRALIN,345.38,9.3e-09,-8.0315170514461,7.2e-09,-8.1426675035687,-0.111150452122601,20,EXP,"BUDAVARI,S ET AL. (1996)"
4755-77-5,ETHYL CHLOROGLYOXYLATE,136.54,7.614,0.881612872478348,7.29,0.862727528317975,-0.018885344160373,25,EXP,"PERRY,RH & GREEN,D (1984)"
4784-77-4,2-BROMO-2-BUTENE,135.0,80.389,1.9051966262841,35.9,1.5550944485783,-0.3501021777058,25,EXP,"PERRY,RH & GREEN,D (1984)"
4786-20-3,CROTONONITRILE,67.091,31.994,1.5050685404695,0.198,-0.703334809738469,-2.208403350208,25,EXP,"YAWS,CL (1994)"
4860-03-1,1-CHLOROHEXADECANE,260.89,6.2e-05,-4.2076083105017,0.000602,-3.2204035087422,0.9872048017595,25,EXT,"BOUBLIK,T ET AL. (1984)"
4920-77-8,3-METHYL-2-NITROPHENOL,153.14,0.0372,-1.4294570601181,0.00188,-2.7258421507363,-1.2963850906182,20,EXP,"SCHWARZENBACH,RP ET AL. (1988)"
5026-76-6,6-METHYL-1-HEPTENE,112.22,25.207,1.4015211613855,25.0,1.397940008672,-0.00358115271350012,25,EXP,"ZWOLINSKI,BJ & WILHOIT,RC (1971)"
5103-71-9,ALPHA-CHLORDANE,409.78,3.6e-05,-4.4436974992327,2e-05,-4.698970004336,-0.2552725051033,25,EXP,"HINCKLEY,DA ET AL. (1990)"
5103-73-1,CIS-NONACHLOR,444.23,9e-07,-6.0457574905607,2.16e-06,-5.6655462488491,0.380211241711599,25,EXT,"HINCKLEY,DA ET AL. (1990)"
