CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
2050-20-6,DIETHYL PIMELATE,1970.0,25.0,EXP,"SUZUKI,T (1991)",0.0031,25.0,EXP,"BENNETT,SR ET AL. (1984)",4.48e-07,25.0,EST,VP/WSOL
2050-67-1,"3,3'-DICHLOROBIPHENYL",0.355,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.000649,25.0,EXP,"BIDLEMAN,TF (1984)",0.000233,25.0,EXP,"DUNNIVANT,FM ET AL. (1988)"
2050-68-2,"4,4'-DICHLOROBIPHENYL",0.062,20.0,EXP,"CHIOU,CT ET AL. (1977)",0.000535,25.0,EXP,"BIDLEMAN,TF (1984)",0.000199,25.0,EXP,"DUNNIVANT,FM ET AL. (1988)"
2051-24-3,DECACHLOROBIPHENYL,7.43e-06,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.06e-07,25.0,EXP,"HINCKLEY,DA ET AL. (1990)",0.0094,25.0,EST,VP/WSOL
2051-60-7,2-CHLOROBIPHENYL,4.83,25.0,EXP,"CHIOU,CT ET AL. (1983)",0.00138,25.0,EXP,"BIDLEMAN,TF (1984)",0.000736,25.0,EXP,"SHIU,WY & MACKAY,D (1986)"
2051-61-8,3-CHLOROBIPHENYL,3.63,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00735,25.0,EXP,"BIDLEMAN,TF (1984)",0.000613,25.0,EXP,"SHIU,WY & MACKAY,D (1986)"
2051-62-9,4-CHLOROBIPHENYL,1.34,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0105,25.0,EXP,"BIDLEMAN,TF (1984)",0.000573,25.0,EXP,"SHIU,WY & MACKAY,D (1986)"
2077-46-5,"2,3,6-TRICHLOROTOLUENE",6.97,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.0732,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.0015,20.0,EXP,"OLIVER,BG (1985)"
2104-64-5,EPN,3.11,23.0,EXP,"KANAZAWA,J (1980)",9.5e-07,25.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",4.44e-07,25.0,EST,VP/WSOL
2104-96-3,BROMOPHOS,0.3,20.0,EXP,"BOWMAN,BT & SANS,WW (1983A)",0.000128,20.0,EXP,"WORTHING,CR & WALKER,SB (1987)",0.000205,20.0,EST,VP/WSOL
